item_name,is_folder,fs_item_name,fs_is_folder,fs_unique_id,tp_item_name,tp_is_folder,tp_cat_1,tp_cat_1_name,tp_cat_2,tp_comment,no_show,original_order
.hgignore_global,False,.hgignore_global,False,15,.hgignore_global,False,swd,Software Development,vcs other,Global .hgignore file,False,55
.subversion,True,.subversion,True,19,.subversion,True,swd,Software Development,vcs other,Subversion configuration files,False,56
.config,True,.config,True,4,.config,True,sys,System,general,,False,57
.cache,True,.cache,True,69,.cache,True,sys,System,general,,False,58
.local,True,.local,True,26,.local,True,sys,System,general,,False,59
.IdentityService,True,.IdentityService,True,38,.IdentityService,True,sys,System,macos,,False,60
.DS_Store,False,.DS_Store,False,7,.DS_Store,False,sys,System,macos,,False,61
.Trash,True,.Trash,True,55,.Trash,True,sys,System,macos,,False,62
.CFUserTextEncoding,False,.CFUserTextEncoding,False,13,.CFUserTextEncoding,False,sys,System,macos,macOS - stores the user’s preferred text encoding settings,False,63
.netrc,False,.netrc,False,18,.netrc,False,sys,System,unix,Unix file stores login & init info for connecting to remote systems,False,64
.thumbnails,True,.thumbnails,True,9,.thumbnails,True,sys,System,unix,Thumbnail cache,False,65
.ssh,True,.ssh,True,51,.ssh,True,sys,System,unix,Unix SSH configuration files,False,66
.fontconfig,True,.fontconfig,True,28,.fontconfig,True,sys,System,unix,Unix font configuration,False,67
.lesshst,False,.lesshst,False,37,.lesshst,False,sys,System,unix,command history file for the Unix less text viewer command,False,68
.cups,True,.cups,True,42,.cups,True,sys,System,unix,Common Unix Printing System,False,69
.Xencelabs,True,.Xencelabs,True,21,.Xencelabs,True,apps,Applications,regular,Xencelabs dedicated controller config,False,70
.adobe,True,.adobe,True,24,.adobe,True,apps,Applications,regular,,False,71
.dropbox,True,.dropbox,True,48,.dropbox,True,apps,Applications,cloud,,False,72
.pcloud,True,.pcloud,True,75,.pcloud,True,apps,Applications,cloud,,False,73
.omniboard,True,.omniboard,True,44,.omniboard,True,oth,Other,projects,Omniboard project management tool,False,74
