line_content,fs_filename,fs_type,tp_filename,tp_type,tp_comment,line_type,unique_id
,,,,File,,formatting,85
- **.flowise | LLM AI No-code coding tool (ƒ)**,.flowise,Folder,.flowise,Folder,LLM AI No-code coding tool,data,86
"- **.sonar | SonarQube, a tool for continuous inspection of code quality (ƒ)**",.sonar,Folder,.sonar,Folder,"SonarQube, a tool for continuous inspection of code quality",data,87
- **.quokka | debugging tool for JavaScript & TypeScript (ƒ)**,.quokka,Folder,.quokka,Folder,debugging tool for JavaScript & TypeScript,data,88
- **.installbuilder | dev tool for building cross-platform installers for dtop & server sw (🚫) (ƒ)**,.installbuilder,Folder,.installbuilder,Folder,dev tool for building cross-platform installers for dtop & server sw (🚫),data,89
- **.degit | quickly scaffold projects by downloading/extracting a repo (ƒ)**,.degit,Folder,.degit,Folder,quickly scaffold projects by downloading/extracting a repo,data,90
- **.android | Android SDK (ƒ)**,.android,Folder,.android,Folder,Android SDK,data,91
,,,,File,,formatting,92
#### swd: vcs git,,,,File,,formatting,93
,,,,File,,formatting,94
- .gitignore_global | Global .gitignore file,.gitignore_global,File,.gitignore_global,File,Global .gitignore file,data,95
- .gitconfig | Git configuration file,.gitconfig,File,.gitconfig,File,Git configuration file,data,96
- .gitflow_export | GitFlow configuration file,.gitflow_export,File,.gitflow_export,File,GitFlow configuration file,data,97
,,,,File,,formatting,98
#### swd: vcs other,,,,File,,formatting,99
,,,,File,,formatting,100
- .hgignore_global | Global .hgignore file,.hgignore_global,File,.hgignore_global,File,Global .hgignore file,data,101
- **.subversion | Subversion configuration files (ƒ)**,.subversion,Folder,.subversion,Folder,Subversion configuration files,data,102
,,,,File,,formatting,103
### System,,,,File,,formatting,104
,,,,File,,formatting,105
#### sys: general,,,,File,,formatting,106
,,,,File,,formatting,107
- **.cache (ƒ)**,.cache,Folder,.cache,Folder,,data,108
- **.config (ƒ)**,.config,Folder,.config,Folder,,data,109
- **.local (ƒ)**,.local,Folder,.local,Folder,,data,110
,,,,File,,formatting,111
